xmcota;X-Men: Children of the Atom (Euro 950331);HBMame;;1994;Capcom;Fighter;;;;;0;;;;;
xmcota;X-Men: Children of the Atom (Euro 950331);Mame (Advance);;1994;Capcom;Fighter;;;;;0;;;;;
xmcota;X-Men: Children of the Atom (Euro 950331);Mame (libretro);;1994;Capcom;Fighter;;;;;0;;;;;
xmcota;X-Men: Children of the Atom (Euro 950331);MAME (Mame (Libretro)4all);;1994;Capcom;Fighter;;;;;0;;;;;
xmcota;X-Men: Children of the Atom (Euro 950331);Mame (Mame4all);;1994;Capcom;Fighter;;;;;0;;;;;
xmcota;X-Men: Children of the Atom (Euro 950331);Mame;;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaa;X-Men - children of the atom (950105 Asia);Final Burn Alpha;xmcota;1995;Capcom;;;;;;0;;;;;
xmcotaa;X-Men Children of the Atom (Asia 950105);Arcade;xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaa;X-Men Children of the Atom (Asia 950105);Mame (Advance);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaa;X-Men Children of the Atom (Asia 950105);Mame (Libretro);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaa;X-Men Children of the Atom (Asia 950105);Mame (Mame4all);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaa;X-Men Children of the Atom (Asia 950105);Mame;xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaa;X-Men: Children of the Atom (Asia 950105);Arcade;xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaa;X-Men: Children of the Atom (Asia 950105);Final Burn Alpha;xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaa;X-Men: Children of the Atom (Asia 950105);Mame (Advance);xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaa;X-Men: Children of the Atom (Asia 950105);Mame (Libretro);xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaa;X-Men: Children of the Atom (Asia 950105);Mame (mame4all);xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaa;X-Men: Children of the Atom (Asia 950105);Mame;xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaar1;X-Men - children of the atom (941217 Asia);Final Burn Alpha;xmcota;1995;Capcom;;;;;;0;;;;;
xmcotaar1;X-Men Children of the Atom (Asia 941217);Arcade;xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaar1;X-Men Children of the Atom (Asia 941217);Mame (Advance);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaar1;X-Men Children of the Atom (Asia 941217);Mame (Libretro);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaar1;X-Men Children of the Atom (Asia 941217);Mame (Mame4all);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaar1;X-Men Children of the Atom (Asia 941217);Mame;xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaar1;X-Men: Children of the Atom (Asia 941217);Arcade;xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaar1;X-Men: Children of the Atom (Asia 941217);Final Burn Alpha;xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaar1;X-Men: Children of the Atom (Asia 941217);Mame (advance);xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaar1;X-Men: Children of the Atom (Asia 941217);Mame (Libretro);xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaar1;X-Men: Children of the Atom (Asia 941217);Mame (mame4all);xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaar1;X-Men: Children of the Atom (Asia 941217);Mame;xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotah;X-Men - children of the atom (950331 Hispanic);Final Burn Alpha;xmcota;1995;Capcom;;;;;;0;;;;;
xmcotah;X-Men Children of the Atom (Hispanic 950331);Arcade;xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotah;X-Men Children of the Atom (Hispanic 950331);Mame (Advance);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotah;X-Men Children of the Atom (Hispanic 950331);Mame (Libretro);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotah;X-Men Children of the Atom (Hispanic 950331);Mame (Mame4all);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotah;X-Men Children of the Atom (Hispanic 950331);Mame;xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotah;X-Men: Children of the Atom (Hispanic 950331);Arcade;xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotah;X-Men: Children of the Atom (Hispanic 950331);Final Burn Alpha;xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotah;X-Men: Children of the Atom (Hispanic 950331);Mame (Advance);xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotah;X-Men: Children of the Atom (Hispanic 950331);Mame (Libretro);xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotah;X-Men: Children of the Atom (Hispanic 950331);Mame (mame4all);xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotah;X-Men: Children of the Atom (Hispanic 950331);Mame;xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotahr1;X-Men - children of the atom (950105 Hispanic);Final Burn Alpha;xmcota;1995;Capcom;;;;;;0;;;;;
xmcotahr1;X-Men Children of the Atom (Hispanic 950105);Arcade;xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotahr1;X-Men Children of the Atom (Hispanic 950105);Mame (Advance);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotahr1;X-Men Children of the Atom (Hispanic 950105);Mame (Libretro);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotahr1;X-Men Children of the Atom (Hispanic 950105);Mame (Mame4all);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotahr1;X-Men Children of the Atom (Hispanic 950105);Mame;xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotahr1;X-Men: Children of the Atom (Hispanic 950105);Arcade;xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotahr1;X-Men: Children of the Atom (Hispanic 950105);Final Burn Alpha;xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotahr1;X-Men: Children of the Atom (Hispanic 950105);Mame (Advance);xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotahr1;X-Men: Children of the Atom (Hispanic 950105);Mame (Libretro);xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotahr1;X-Men: Children of the Atom (Hispanic 950105);Mame (mame4all);xmcota;1994;Capcom;Fighter;;;;;0;;;;;
