#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
bublcave11;Bubble Bobble: Lost Cave V1.1;MAME (Advance);bublbobl;2012;hack (Bisboch and Aladar);Platform;;;;;0;;;;;
bublcave11;Bubble Bobble: Lost Cave V1.1;MAME (Libretro);bublbobl;2012;hack (Bisboch and Aladar);Platform;;;;;0;;;;;
bublcave11;Bubble Bobble: Lost Cave V1.1;MAME (Mame4all);bublbobl;2012;hack (Bisboch and Aladar);Platform;;;;;0;;;;;
bublcave11;Bubble Bobble: Lost Cave V1.1;MAME;bublbobl;2012;hack (Bisboch and Aladar);Platform;;;;;0;;;;;
bublcave;Bubble Bobble Lost Cave (v1.2) [Homebrew];Final Burn Alpha;bublbobl;1986;Bisboch and Aladar;;;;;;0;;;;;
bublcave;Bubble Bobble: Lost Cave V1.2;HBMame;bublbobl;2013;hack (Bisboch and Aladar);Platform;;;;;0;;;;;
bublcave;Bubble Bobble: Lost Cave V1.2;MAME (Advance);bublbobl;2013;hack (Bisboch and Aladar);Platform;;;;;0;;;;;
bublcave;Bubble Bobble: Lost Cave V1.2;MAME (Libretro);bublbobl;2013;hack (Bisboch and Aladar);Platform;;;;;0;;;;;
bublcave;Bubble Bobble: Lost Cave V1.2;MAME (Mame4all);bublbobl;2013;hack (Bisboch and Aladar);Platform;;;;;0;;;;;
bublcave;Bubble Bobble: Lost Cave V1.2;MAME;bublbobl;2013;hack (Bisboch and Aladar);Platform;;;;;0;;;;;
Classic Bubble Bobble (USA);Classic Bubble Bobble (USA);Nintendo Game Boy Color;;1999;Metro3D;Platform;;;;;0;;;;;
dland;Dream Land / Super Dream Land (bootleg of Bubble Bobble) [Bootleg];Final Burn Alpha;bublbobl;1987;bootleg;;;;;;0;;;;;
dland;Dream Land / Super Dream Land (bootleg of Bubble Bobble);Arcade;bublbobl;1987;bootleg;Platform / Run Jump;;;;;0;;;;;
dland;Dream Land / Super Dream Land (bootleg of Bubble Bobble);Final Burn Alpha;bublbobl;1987;bootleg;Platform / Run Jump;;;;;0;;;;;
dland;Dream Land / Super Dream Land (bootleg of Bubble Bobble);MAME (Advance);bublbobl;1987;bootleg;Platform / Run Jump;;;;;0;;;;;
dland;Dream Land / Super Dream Land (bootleg of Bubble Bobble);MAME (Advance);bublbobl;1987;bootleg;Platform;;;;;0;;;;;
dland;Dream Land / Super Dream Land (bootleg of Bubble Bobble);MAME (Libretro);bublbobl;1987;bootleg;Platform / Run Jump;;;;;0;;;;;
dland;Dream Land / Super Dream Land (bootleg of Bubble Bobble);MAME (Libretro);bublbobl;1987;bootleg;Platform;;;;;0;;;;;
dland;Dream Land / Super Dream Land (bootleg of Bubble Bobble);MAME (Mame4all);bublbobl;1987;bootleg;Platform / Run Jump;;;;;0;;;;;
dland;Dream Land / Super Dream Land (bootleg of Bubble Bobble);MAME (Mame4all);bublbobl;1987;bootleg;Platform;;;;;0;;;;;
dland;Dream Land / Super Dream Land (bootleg of Bubble Bobble);MAME;bublbobl;1987;bootleg;Platform / Run Jump;;;;;0;;;;;
dland;Dream Land / Super Dream Land (bootleg of Bubble Bobble);MAME;bublbobl;1987;bootleg;Platform;;;;;0;;;;;
Final Bubble Bobble (Japan);Final Bubble Bobble (Japan);Sega Mark III;;;;;;;;;;;;;;
Parasol Stars - Rainbow Islands II (Europe);Parasol Stars - Rainbow Islands II (Europe);Nintendo Entertainment System;;1991;Taito;Platform;;;;;0;;;;;
Parasol Stars - The Story of Bubble Bobble III (Japan);Parasol Stars - The Story of Bubble Bobble III;NEC PC Engine;;;;;;;;;0;;;;;
Parasol Stars - The Story of Bubble Bobble III (USA);Parasol Stars - The Story of Bubble Bobble III (USA);NEC TurboGrafx-16;;1991;Working Designs;Platform;;;;;0;;;;;
parasol;Parasol Stars - The Story of Bubble Bobble III;Final Burn Alpha;;1991;Taito;;;;;;0;;;;;
ParasolStars_v1.4a_0139;Parasol Stars - Rainbow Islands 2;Commodore Amiga;;;;;;;;;0;;;;;
pbcrazyb1;Puzzle Bobble Crazy (beta1 2009-07-05);HBMame;pbobblen;2009;Elrayzeur;Puzzle;;;;;0;;;;;
pbcrazyb2;Puzzle Bobble Crazy (beta2 2009-07-23);HBMame;pbobblen;2009;Elrayzeur;Puzzle;;;;;0;;;;;
pbobbl2n;Puzzle Bobble 2 / Bust-A-Move Again (Neo-Geo);Arcade;;1999;Taito (SNK license);Puzzle / Toss;;;;;0;;;;;
pbobbl2n;Puzzle Bobble 2 / Bust-A-Move Again (Neo-Geo);Arcade;;1999;Taito (SNK license);Puzzle;;;;;0;;;;;
pbobbl2n;Puzzle Bobble 2 / Bust-A-Move Again (Neo-Geo);Final Burn Alpha;;1999;Taito (SNK license);;;;;;0;;;;;
