#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
George Foreman's KO Boxing (USA, Europe);George Foreman's KO Boxing (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Greendog (USA, Europe);Greendog (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Halley Wars (USA, Europe);Halley Wars (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Home Alone (USA, Europe);Home Alone (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Hook (USA, Europe);Hook (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Hurricanes (Europe);Hurricanes (Europe);Sega Gamegear;;;;;;;;;;;;;;
Incredible Crash Dummies, The (USA, Europe);Incredible Crash Dummies, The (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Incredible Hulk, The (USA, Europe);Incredible Hulk, The (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Indiana Jones and the Last Crusade (USA, Europe);Indiana Jones and the Last Crusade (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Iron Man X-O Manowar in Heavy Metal (USA, Europe);Iron Man X-O Manowar in Heavy Metal (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Itchy & Scratchy Game, The (USA, Europe);Itchy & Scratchy Game, The (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
James Bond 007 - The Duel (Europe);James Bond 007 - The Duel (Europe);Sega Gamegear;;;;;;;;;;;;;;
James Pond 3 - Operation Starfi5h (Europe);James Pond 3 - Operation Starfi5h (Europe);Sega Gamegear;;;;;;;;;;;;;;
James Pond II - Codename RoboCod (USA);James Pond II - Codename RoboCod (USA);Sega Gamegear;;;;;;;;;;;;;;
Jeopardy! (USA);Jeopardy! (USA);Sega Gamegear;;;;;;;;;;;;;;
Jeopardy! - Sports Edition (USA, Europe);Jeopardy! - Sports Edition (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Joe Montana's Football (USA, Europe);Joe Montana's Football (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Journey from Darkness - Strider Returns (USA, Europe);Journey from Darkness - Strider Returns (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Judge Dredd (USA, Europe);Judge Dredd (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Junction (USA, Europe);Junction (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Jungle Book, The (USA);Jungle Book, The (USA);Sega Gamegear;;;;;;;;;;;;;;
Jurassic Park (USA, Europe);Jurassic Park (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Kawasaki Superbike Challenge (USA, Europe);Kawasaki Superbike Challenge (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Klax (USA, Europe);Klax (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Krusty's Fun House (USA, Europe);Krusty's Fun House (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Land of Illusion Starring Mickey Mouse (USA, Europe);Land of Illusion Starring Mickey Mouse (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Last Action Hero (USA);Last Action Hero (USA);Sega Gamegear;;;;;;;;;;;;;;
Legend of Illusion Starring Mickey Mouse (USA, Europe);Legend of Illusion Starring Mickey Mouse (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Lemmings (World);Lemmings (World);Sega Gamegear;;;;;;;;;;;;;;
Lion King, The (USA);Lion King, The (USA);Sega Gamegear;;;;;;;;;;;;;;
Lucky Dime Caper, The (USA, Europe);Lucky Dime Caper, The (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
MLBPA Baseball (USA);MLBPA Baseball (USA);Sega Gamegear;;;;;;;;;;;;;;
Madden NFL '95 (USA);Madden NFL '95 (USA);Sega Gamegear;;;;;;;;;;;;;;
Madden NFL '96 (USA, Europe);Madden NFL '96 (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Magical Puzzle Popils (World);Magical Puzzle Popils (World);Sega Gamegear;;;;;;;;;;;;;;
Majors Pro Baseball, The (USA);Majors Pro Baseball, The (USA);Sega Gamegear;;;;;;;;;;;;;;
Marble Madness (USA, Europe);Marble Madness (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Marko's Magic Football (Europe);Marko's Magic Football (Europe);Sega Gamegear;;;;;;;;;;;;;;
Mega Man (USA, Europe);Mega Man (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Mick & Mack as the Global Gladiators (USA, Europe);Mick & Mack as the Global Gladiators (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Micro Machines (Europe);Micro Machines (Europe);Sega Gamegear;;;;;;;;;;;;;;
Micro Machines 2 - Turbo Tournament (Europe);Micro Machines 2 - Turbo Tournament (Europe);Sega Gamegear;;;;;;;;;;;;;;
Mighty Morphin Power Rangers (USA, Europe);Mighty Morphin Power Rangers (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Mighty Morphin Power Rangers - The Movie (USA, Europe);Mighty Morphin Power Rangers - The Movie (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Monster Truck Wars (USA, Europe);Monster Truck Wars (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Mortal Kombat (USA, Europe);Mortal Kombat (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Mortal Kombat 3 (Europe);Mortal Kombat 3 (Europe);Sega Gamegear;;;;;;;;;;;;;;
Mortal Kombat II (World);Mortal Kombat II (World);Sega Gamegear;;;;;;;;;;;;;;
Ms. Pac-Man (USA);Ms. Pac-Man (USA);Sega Gamegear;;;;;;;;;;;;;;
NBA Action (USA);NBA Action (USA);Sega Gamegear;;;;;;;;;;;;;;
NBA Jam (USA);NBA Jam (USA);Sega Gamegear;;;;;;;;;;;;;;
NBA Jam Tournament Edition (USA, Europe);NBA Jam Tournament Edition (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
NFL '95 (USA);NFL '95 (USA);Sega Gamegear;;;;;;;;;;;;;;
NFL Quarterback Club '96 (USA, Europe);NFL Quarterback Club '96 (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
NFL Quarterback Club (World);NFL Quarterback Club (World);Sega Gamegear;;;;;;;;;;;;;;
NHL All-Star Hockey (USA);NHL All-Star Hockey (USA);Sega Gamegear;;;;;;;;;;;;;;
NHL Hockey (USA, Europe);NHL Hockey (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
