
afm_11;Attack From Mars (1.1);Mame;afm_113;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
afm_11u;Attack From Mars (1.1 Ultrapin);Arcade;afm_113;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
afm_11u;Attack From Mars (1.1 Ultrapin);Mame (Advance);afm_113;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
afm_11u;Attack From Mars (1.1 Ultrapin);Mame (Libretro);afm_113;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
afm_11u;Attack From Mars (1.1 Ultrapin);Mame (Mame4all);afm_113;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
afm_11u;Attack From Mars (1.1 Ultrapin);Mame;afm_113;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
aftor;Af-Tor;Arcade;;1984;Wico;Electromechanical / Pinball;;;;;0;;;;;
aftor;Af-Tor;Mame (Advance);;1984;Wico;Electromechanical / Pinball;;;;;0;;;;;
aftor;Af-Tor;Mame (Libretro);;1984;Wico;Electromechanical / Pinball;;;;;0;;;;;
aftor;Af-Tor;Mame (Mame4all);;1984;Wico;Electromechanical / Pinball;;;;;0;;;;;
aftor;Af-Tor;Mame;;1984;Wico;Electromechanical / Pinball;;;;;0;;;;;
agent777;Agents 777;Arcade;;1984;Game Plan;Electromechanical / Pinball;;;;;0;;;;;
agent777;Agents 777;Mame (Advance);;1984;Game Plan;Electromechanical / Pinball;;;;;0;;;;;
agent777;Agents 777;Mame (Libretro);;1984;Game Plan;Electromechanical / Pinball;;;;;0;;;;;
agent777;Agents 777;Mame (Mame4all);;1984;Game Plan;Electromechanical / Pinball;;;;;0;;;;;
agent777;Agents 777;Mame;;1984;Game Plan;Electromechanical / Pinball;;;;;0;;;;;
algar_l1;Algar (L-1);Arcade;;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
algar_l1;Algar (L-1);Mame (Advance);;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
algar_l1;Algar (L-1);Mame (Libretro);;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
