pc_tmnt2;Teenage Mutant Ninja Turtles II: The Arcade Game (PlayChoice-10);MAME (Mame4all);;1990;Konami (Nintendo of America license);Beat-'Em-Up;;;;;0;;;;;
pc_tmnt2;Teenage Mutant Ninja Turtles II: The Arcade Game (PlayChoice-10);MAME;;1990;Konami (Nintendo of America license);Beat-'Em-Up;;;;;0;;;;;
pc_tmnt;Teenage Mutant Ninja Turtles (PlayChoice-10);Arcade;;1989;Konami (Nintendo of America license);Platform / Fighter;;;;;0;;;;;
pc_tmnt;Teenage Mutant Ninja Turtles (PlayChoice-10);Arcade;;1989;Konami (Nintendo of America license);Platform;;;;;0;;;;;
pc_tmnt;Teenage Mutant Ninja Turtles (PlayChoice-10);Final Burn Alpha;;1989;Konami (Nintendo of America license);Platform;;;;;0;;;;;
pc_tmnt;Teenage Mutant Ninja Turtles (PlayChoice-10);MAME (Advance);;1989;Konami (Nintendo of America license);Platform / Fighter;;;;;0;;;;;
pc_tmnt;Teenage Mutant Ninja Turtles (PlayChoice-10);MAME (Advance);;1989;Konami (Nintendo of America license);Platform;;;;;0;;;;;
pc_tmnt;Teenage Mutant Ninja Turtles (PlayChoice-10);MAME (Libretro);;1989;Konami (Nintendo of America license);Platform / Fighter;;;;;0;;;;;
pc_tmnt;Teenage Mutant Ninja Turtles (PlayChoice-10);MAME (Libretro);;1989;Konami (Nintendo of America license);Platform;;;;;0;;;;;
pc_tmnt;Teenage Mutant Ninja Turtles (PlayChoice-10);MAME (Mame4all);;1989;Konami (Nintendo of America license);Platform / Fighter;;;;;0;;;;;
pc_tmnt;Teenage Mutant Ninja Turtles (PlayChoice-10);MAME (mame4all);;1989;Konami (Nintendo of America license);Platform;;;;;0;;;;;
pc_tmnt;Teenage Mutant Ninja Turtles (PlayChoice-10);MAME;;1989;Konami (Nintendo of America license);Platform / Fighter;;;;;0;;;;;
pc_tmnt;Teenage Mutant Ninja Turtles (PlayChoice-10);MAME;;1989;Konami (Nintendo of America license);Platform;;;;;0;;;;;
Streets of Rage 2 - TMNT Edition;Streets of Rage 2 - TMNT Edition;Sega Mega Drive Hacks;;;;;;;;;;;;;;
Streets of Rage 2 TMNT Edition;Streets of Rage 2 TMNT Edition;Sega Mega Drive Hacks;;;;;;;;;;;;;;
Teenage Mutant Ninja Turtles (Original) (2014) (2.1);Teenage Mutant Ninja Turtles (Original) (2014) (2.1);Future Pinball;;;;;;;;;;;;;;
Teenage Mutant Ninja Turtles (USA) (Disk 1 Side A);Teenage Mutant Ninja Turtles (USA) (Disk 1 Side A);Commodore 64;;1990;Ultra Software/Konami;Action;;;;;0;;;;;
Teenage Mutant Ninja Turtles (USA) (Disk 1 Side B);Teenage Mutant Ninja Turtles (USA) (Disk 1 Side B);Commodore 64;;1990;Ultra Software/Konami;Action;;;;;0;;;;;
Teenage Mutant Ninja Turtles (USA) (Disk 2 Side A);Teenage Mutant Ninja Turtles (USA) (Disk 2 Side A);Commodore 64;;1990;Ultra Software/Konami;Action;;;;;0;;;;;
Teenage Mutant Ninja Turtles (USA) (Disk 2 Side B);Teenage Mutant Ninja Turtles (USA) (Disk 2 Side B);Commodore 64;;1990;Ultra Software/Konami;Action;;;;;0;;;;;
Teenage Mutant Ninja Turtles (USA);Teenage Mutant Ninja Turtles (USA);Nintendo 3DS;;2014;Activision;Role-Playing;;;;;0;;;;;
Teenage Mutant Ninja Turtles (USA);Teenage Mutant Ninja Turtles (USA);Nintendo 3DS;;;Activision;;;;;;0;;;;;
Teenage Mutant Ninja Turtles (USA);Teenage Mutant Ninja Turtles (USA);Nintendo Entertainment System;;1989;Ultra;Platform;;;;;0;;;;;
Teenage Mutant Ninja Turtles (USA);Teenage Mutant Ninja Turtles (USA);Nintendo Game Boy Advance;;2003;Konami;Beat-'Em-Up;;;;;0;;;;;
Teenage Mutant Ninja Turtles (USA);Teenage Mutant Ninja Turtles (USA);Nintendo GameCube;;2003;Konami;Beat-'Em-Up;;;;;0;;;;;
Teenage Mutant Ninja Turtles (USA);Teenage Mutant Ninja Turtles (USA);Nintendo Wii;;2013;Activision;Action;;;;;0;;;;;
Teenage Mutant Ninja Turtles (USA);Teenage Mutant Ninja Turtles (USA);Sony PlayStation 2;;2003;KCE Studios;Beat-'Em-Up;;;;;0;;;;;
