#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Bonsai Barber (USA);Bonsai Barber (USA);Nintendo WiiWare;;2009;Zoonami, Nintendo;Simulation;;;;;0;;;;;
Brain Challenge (USA);Brain Challenge (USA);Nintendo WiiWare;;2008;Gameloft;Puzzle;;;;;0;;;;;
Brain Drain (USA);Brain Drain (USA);Nintendo WiiWare;;2010;Enjoy Gaming;Puzzle;;;;;0;;;;;
Bruiser and Scratch (USA);Bruiser & Scratch (USA);Nintendo WiiWare;;2008;Steel Penny Games;Puzzle;;;;;0;;;;;
Bubble Bobble Plus! (USA);Bubble Bobble Plus! (USA);Nintendo WiiWare;;2009;Taito;Arcade;;;;;0;;;;;
BurgerTime World Tour (USA);BurgerTime World Tour (USA);Nintendo WiiWare;;2012;MonkeyPaw Games;Action;;;;;0;;;;;
Burn the Rope (USA);Burn the Rope (USA);Nintendo WiiWare;;2011;Big Blue Bubble;Puzzle;;;;;0;;;;;
Bust-a-Move Plus! (USA);Bust-a-Move Plus! (USA);Nintendo WiiWare;;2009;Taito;Puzze;;;;;0;;;;;
Carmen Sandiego Adventures in Math - The Big Ben Burglary (USA);Carmen Sandiego Adventures in Math - The Big Ben Burglary (USA);Nintendo WiiWare;;2011;Gamelion, The Learning Company;Education;;;;;0;;;;;
Carmen Sandiego Adventures in Math - The Case of the Crumbling Cathedral (USA);Carmen Sandiego Adventures in Math - The Case of the Crumbling Cathedral (USA);Nintendo WiiWare;;2012;Gamelion, The Learning Company;Education;;;;;0;;;;;
Carmen Sandiego Adventures in Math - The Great Gateway Grab (USA);Carmen Sandiego Adventures in Math - The Great Gateway Grab (USA);Nintendo WiiWare;;2012;Gamelion, The Learning Company;Education;;;;;0;;;;;
Carmen Sandiego Adventures in Math - The Island of Diamonds (USA);Carmen Sandiego Adventures in Math - The Island of Diamonds (USA);Nintendo WiiWare;;2012;Gamelion, The Learning Company;Adventure;;;;;0;;;;;
Carmen Sandiego Adventures in Math - The Lady Liberty Larceny (USA);Carmen Sandiego Adventures in Math - The Lady Liberty Larceny (USA);Nintendo WiiWare;;2011;Gamelion, The Learning Company;Education;;;;;0;;;;;
Carnival King (USA);Carnival King (USA);Nintendo WiiWare;;2009;Incredible Technologies, n-Space;Shooter;;;;;0;;;;;
Castlevania - The Adventure ReBirth (USA);Castlevania - The Adventure ReBirth (USA);Nintendo WiiWare;;2009;Konami, M2;Action;;;;;0;;;;;
Cave Story (USA) (v258);Cave Story (USA) (v258);Nintendo WiiWare;;2010;Studio Pixel, Nicalis;Adventure;;;;;0;;;;;
Chess Challenge! (USA);Chess Challenge! (USA);Nintendo WiiWare;;2010;Digital Leisure;Board Game;;;;;0;;;;;
Chick Chick BOOM (USA);Chick Chick BOOM (USA);Nintendo WiiWare;;2010;tons of bits, Arc System Works;Action;;;;;0;;;;;
Chindouchuu!! Pole no Daibouken (Japan);Chindouchuu!! Pole no Daibouken (Japan);Nintendo WiiWare;;2009;Sega;Action;;;;;0;;;;;
Christmas Clix (USA);Christmas Clix (USA);Nintendo WiiWare;;2009;JV Games;Puzzle;;;;;0;;;;;
Chronos Twins DX (USA);Chronos Twins DX (USA);Nintendo WiiWare;;2010;EnjoyUP Games;Platformer;;;;;0;;;;;
Cocoto Fishing Master (USA);Cocoto Fishing Master (USA);Nintendo WiiWare;;2008;Neko Entertainment;Simulation;;;;;0;;;;;
Cocoto Platform Jumper (USA);Cocoto Platform Jumper (USA);Nintendo WiiWare;;2009;Neko Entertainment;Platformer;;;;;0;;;;;
ColorZ (USA);ColorZ (USA);Nintendo WiiWare;;2009;Exkee, Luck Plus;Puzzle;;;;;0;;;;;
Contra ReBirth (USA);Contra ReBirth (USA);Nintendo WiiWare;;2009;Konami, M2;Action;;;;;0;;;;;
Copter Crisis (USA);Copter Crisis (USA);Nintendo WiiWare;;2009;Digital Leisure;Simulation;;;;;0;;;;;
Cozy Fire (USA);Cozy Fire (USA);Nintendo WiiWare;;2011;dtp young entertainment;Simulation;;;;;0;;;;;
Cricket Challenge (Europe);Cricket Challenge (Europe);Nintendo WiiWare;;2011;Gameshastra;Sports;;;;;0;;;;;
Critter Round-Up (USA);Critter Round-Up (USA);Nintendo WiiWare;;2008;Epicenter Studios, Konami;Puzzle;;;;;0;;;;;
Cruise Party (USA);Cruise Party (USA);Nintendo WiiWare;;2010;Enjoy Gaming;Other;;;;;0;;;;;
Crystal Defenders R1 (USA);Crystal Defenders R1 (USA);Nintendo WiiWare;;2009;Square Enix;Strategy;;;;;0;;;;;
Crystal Defenders R2 (USA);Crystal Defenders R2 (USA);Nintendo WiiWare;;2009;Square Enix;Strategy;;;;;0;;;;;
Dart Rage (USA);Dart Rage (USA);Nintendo WiiWare;;2010;JV Games;Sports;;;;;0;;;;;
Darts Wii (Japan);Darts Wii (Japan);Nintendo WiiWare;;2008;Alpha Unit;Other;;;;;0;;;;;
Deer Captor (USA);Deer Captor (USA);Nintendo WiiWare;;2010;Arc System Works;Other;;;;;0;;;;;
Defend Your Castle (USA);Defend Your Castle (USA);Nintendo WiiWare;;2008;XGen Studios;Action;;;;;0;;;;;
Derby Dogs (USA);Derby Dogs (USA);Nintendo WiiWare;;2010;SIMS Co. Ltd., Arksys Games;Simulation;;;;;0;;;;;
Diatomic (USA);Diatomic (USA);Nintendo WiiWare;;2009;Grendel Games;Arcade;;;;;0;;;;;
Diner Dash (USA);Diner Dash (USA);Nintendo WiiWare;;2010;Hudson Soft;Puzzle;;;;;0;;;;;
Discipline - Teikoku no Tanjyou (Japan);Discipline - Teikoku no Tanjyou (Japan);Nintendo WiiWare;;2009;Marvelous Entertainment, Unigame Bunko;Other;;;;;0;;;;;
Dive - The Medes Islands Secret (USA);Dive - The Medes Islands Secret (USA);Nintendo WiiWare;;2010;Cosmonaut Games;Action;;;;;0;;;;;
Doc Clock - The Toasted Sandwich of Time (USA);Doc Clock - The Toasted Sandwich of Time (USA);Nintendo WiiWare;;2011;Stickmen Studios;Puzzle;;;;;0;;;;;
Doc Louiss Punch Out (USA) (Promo);Doc Louiss Punch Out (USA) (Promo);Nintendo WiiWare;;2009;Next Level Games, Nintendo;Arcade;;;;;0;;;;;
Downtown Nekketsu Dodgeball (Japan);Downtown Nekketsu Dodgeball (Japan);Nintendo WiiWare;;2011;Miracle Kidz;Sports;;;;;0;;;;;
Dr. Mario Online Rx (USA) (v256);Dr. Mario Online Rx (USA) (v256);Nintendo WiiWare;;2008;Nintendo, Arika;Puzzle;;;;;0;;;;;
Dracula - Undead Awakening (USA);Dracula - Undead Awakening (USA);Nintendo WiiWare;;2010;Chillingo;Action;;;;;0;;;;;
Dragon Master Spell Caster (USA);Dragon Master Spell Caster (USA);Nintendo WiiWare;;2009;Stickmen Studios;Adventure;;;;;0;;;;;
Driift Mania (USA);Driift Mania (USA);Nintendo WiiWare;;2009;Konami;Racing;;;;;0;;;;;
Drill Sergeant Mindstrong (USA);Drill Sergeant Mindstrong (USA);Nintendo WiiWare;;2009;HI Games and Publishing, Xseed Games, Rising Star Games;Puzzle;;;;;0;;;;;
Drop Zone - Under Fire (USA);Drop Zone - Under Fire (USA);Nintendo WiiWare;;2012;Selectsoft;Action;;;;;0;;;;;
Eat! Fat! FIGHT! (USA);Eat! Fat! FIGHT! (USA);Nintendo WiiWare;;2009;Tecmo;Fighting;;;;;0;;;;;
Eco Shooter - Plant 530 (USA);Eco Shooter - Plant 530 (USA);Nintendo WiiWare;;2009;Nintendo, Intelligent Systems;Shooter;;;;;0;;;;;
Eduardo the Samurai Toaster (USA);Eduardo the Samurai Toaster (USA);Nintendo WiiWare;;2009;Semnat Studios;Action;;;;;0;;;;;
Enjoy your Massage! (USA);Enjoy your Massage! (USA);Nintendo WiiWare;;2010;Microforum Ltd.;Relaxation;;;;;0;;;;;
Equilibrio (USA);Equilibrio (USA);Nintendo WiiWare;;2009;DK Games, Marvelous Entertainment;Puzzle;;;;;0;;;;;
Evasive Space (USA);Evasive Space (USA);Nintendo WiiWare;;2009;Yuke's, High Voltage Software, Tryfirst;Action;;;;;0;;;;;
Excitebike - World Rally (USA) (v512);Excitebike - World Rally (USA) (v512);Nintendo WiiWare;;2009;Nintendo;Racing;;;;;0;;;;;
F-O-R-T-U-N-E - Hoshi no Furi Sosogu Oka (Japan);F-O-R-T-U-N-E - Hoshi no Furi Sosogu Oka (Japan);Nintendo WiiWare;;2009;Cybird;Adventure;;;;;0;;;;;
FAST - Racing League (USA);FAST - Racing League (USA);Nintendo WiiWare;;2011;Shin'en Multimedia;Racing;;;;;0;;;;;
Family & Friends Party (USA) (v257);Family & Friends Party (USA) (v257);Nintendo WiiWare;;2009;Gammick Entertainment;Other;;;;;0;;;;;
Family Card Games (USA);Family Card Games (USA);Nintendo WiiWare;;2009;Arc System Works;Simulation;;;;;0;;;;;
Family Games - Pen and Paper Edition (USA);Family Games - Pen and Paper Edition (USA);Nintendo WiiWare;;2010;Icon Games;Board Games;;;;;0;;;;;
Family Glide Hockey (USA);Family Glide Hockey (USA);Nintendo WiiWare;;2009;Arc System Works;Sports;;;;;0;;;;;
Family Go-Kart Racing (USA);Family Go-Kart Racing (USA);Nintendo WiiWare;;2010;Arc System Works;Racing;;;;;0;;;;;
Family Mini Golf (USA);Family Mini Golf (USA);Nintendo WiiWare;;2009;Arc System Works;Sports;;;;;0;;;;;
Family Pirate Party (USA);Family Pirate Party (USA);Nintendo WiiWare;;2009;Arc System Works;Board Games;;;;;0;;;;;
Family Slot Car Racing (USA);Family Slot Car Racing (USA);Nintendo WiiWare;;2009;Arc System Works;Racing;;;;;0;;;;;
Family Table Tennis (USA);Family Table Tennis (USA);Nintendo WiiWare;;2008;Arc System Works;Sports;;;;;0;;;;;
Family Tennis (USA);Family Tennis (USA);Nintendo WiiWare;;2009;Arc System Works;Sports;;;;;0;;;;;
Fantasic Cube (Japan);Fantasic Cube (Japan);Nintendo WiiWare;;2010;Zoom Inc.;Other;;;;;0;;;;;
Fantastic Tambourine (Japan);Fantastic Tambourine (Japan);Nintendo WiiWare;;2009;Zoom Inc.;Other;;;;;0;;;;;
Fantasy Slots - Adventure Slots and Games (USA);Fantasy Slots - Adventure Slots and Games (USA);Nintendo WiiWare;;2010;Big John Games;Other;;;;;0;;;;;
Fast Draw Showdown (USA);Fast Draw Showdown (USA);Nintendo WiiWare;;2010;Digital Leisure;Shooter;;;;;0;;;;;
Fenimore Fillmore - The Westerner (USA);Fenimore Fillmore - The Westerner (USA);Nintendo WiiWare;;2010;Revistronic;Adventure;;;;;0;;;;;
Final Fantasy Crystal Chronicles - My Life as a Darklord (USA);Final Fantasy Crystal Chronicles - My Life as a Darklord (USA);Nintendo WiiWare;;2009;Square Enix;Strategy;;;;;0;;;;;
Final Fantasy Crystal Chronicles - My Life as a King (USA);Final Fantasy Crystal Chronicles - My Life as a King (USA);Nintendo WiiWare;;2008;Square Enix;Strategy;;;;;0;;;;;
Final Fantasy IV - The After Years (USA);Final Fantasy IV - The After Years (USA);Nintendo WiiWare;;2009;Square Enix, Matrix Software;RPG;;;;;0;;;;;
Fireplacing (USA);Fireplacing (USA);Nintendo WiiWare;;2010;Korner Entertainment;Relaxation;;;;;0;;;;;
Fish Tank (USA);Fish Tank (USA);Nintendo WiiWare;;2011;iFun4all;Puzzle;;;;;0;;;;;
Fish'em All (USA);Fish'em All (USA);Nintendo WiiWare;;2009;Abylight;Arcade;;;;;0;;;;;
Fishie Fishie (USA);Fishie Fishie (USA);Nintendo WiiWare;;2010;DK Games;Arcade;;;;;0;;;;;
Flight Control (USA);Flight Control (USA);Nintendo WiiWare;;2011;Firemint;Puzzle;;;;;0;;;;;
Flowerworks (USA);Flowerworks (USA);Nintendo WiiWare;;2009;Nocturnal Entertainment;Action;;;;;0;;;;;
Fluidity (USA);Fluidity (USA);Nintendo WiiWare;;2010;Nintendo;Puzzle;;;;;0;;;;;
Frobot (USA);Frobot (USA);Nintendo WiiWare;;2010;Fugazo;Action;;;;;0;;;;;
Frogger - Hyper Arcade Edition (USA);Frogger - Hyper Arcade Edition (USA);Nintendo WiiWare;;2012;Konami;Arcade;;;;;0;;;;;
Frogger Returns (USA);Frogger Returns (USA);Nintendo WiiWare;;2009;Konami;Arcade;;;;;0;;;;;
Fun! Fun! Minigolf (USA);Fun! Fun! Minigolf (USA);Nintendo WiiWare;;2008;Shin'en Multimedia;Sports;;;;;0;;;;;
Furry Legends (USA);Furry Legends (USA);Nintendo WiiWare;;2010;Gamelion Studios;Action;;;;;0;;;;;
Gabrielle's Ghostly Groove - Monster Mix (USA);Gabrielle's Ghostly Groove - Monster Mix (USA);Nintendo WiiWare;;2011;Santa Entertainment, Natsume;Dancing;;;;;0;;;;;
Game Sound Station (Japan);Game Sound Station (Japan);Nintendo WiiWare;;2009;Gust Corporation;Music;;;;;0;;;;;
Gene Labs (USA);Gene Labs (USA);Nintendo WiiWare;;2010;Frontline Studios;Puzzle;;;;;0;;;;;
Ghost Mania (USA);Ghost Mania (USA);Nintendo WiiWare;;2011;Legendo Entertainment;Puzzle;;;;;0;;;;;
Ghost Mansion Party (USA);Ghost Mansion Party (USA);Nintendo WiiWare;;2009;Gameloft;Board Game;;;;;0;;;;;
GhostSlayer (USA);GhostSlayer (USA);Nintendo WiiWare;;2010;Gevo Entertainment;Action;;;;;0;;;;;
Girlfriends Forever - Magic Skate (Europe);Girlfriends Forever - Magic Skate (Europe);Nintendo WiiWare;;2010;Kolkom;Other;;;;;0;;;;;
Gnomz (USA);Gnomz (USA);Nintendo WiiWare;;2011;QubicGames;Arcade;;;;;0;;;;;
Gods vs. Humans (USA);Gods vs. Humans (USA);Nintendo WiiWare;;2010;Artefacts Studio, Zallage;Strategy;;;;;0;;;;;
Gradius ReBirth (USA) (v257);Gradius ReBirth (USA) (v257);Nintendo WiiWare;;2009;Konami, M2;Shooter;;;;;0;;;;;
Gravitronix (USA);Gravitronix (USA);Nintendo WiiWare;;2009;Medaverse Studios;Action;;;;;0;;;;;
Grill-Off with Ultra Hand! (USA) (Promo);Grill-Off with Ultra Hand! (USA) (Promo);Nintendo WiiWare;;2010;Nintendo;Arcade;;;;;0;;;;;
Groovin' Blocks (USA);Groovin' Blocks (USA);Nintendo WiiWare;;2008;Empty Clip Studios;Puzzle;;;;;0;;;;;
Gyrostarr (USA);Gyrostarr (USA);Nintendo WiiWare;;2008;High Voltage Software;Shooter;;;;;0;;;;;
HB Arcade Cards (USA);HB Arcade Cards (USA);Nintendo WiiWare;;2009;HB Studios;Simulation;;;;;0;;;;;
HB Arcade Disc Golf (USA);HB Arcade Disc Golf (USA);Nintendo WiiWare;;2010;HB Studios;Sports;;;;;0;;;;;
Hajiite! Block Rush (Japan);Hajiite! Block Rush (Japan);Nintendo WiiWare;;2009;Agenda;Action;;;;;0;;;;;
Hamekomi Lucky Puzzle Wii Returns (Japan);Hamekomi Lucky Puzzle Wii Returns (Japan);Nintendo WiiWare;;2009;Yuke's, Tryfirst;Puzzle;;;;;0;;;;;
Happy Hammerin' (USA);Happy Hammerin' (USA);Nintendo WiiWare;;2010;Agenda, Gamebridge;Action;;;;;0;;;;;
Happy Holidays - Christmas (USA);Happy Holidays - Christmas (USA);Nintendo WiiWare;;2009;505 Games;Other;;;;;0;;;;;
Happy Holidays - Halloween (USA);Happy Holidays - Halloween (USA);Nintendo WiiWare;;2010;505 Games;Other;;;;;0;;;;;
Harvest Moon - My Little Shop (USA);Harvest Moon - My Little Shop (USA);Nintendo WiiWare;;2009;Marvelous Entertainment, Natsume;Simulation;;;;;0;;;;;
Heavy Fire - Black Arms (USA);Heavy Fire - Black Arms (USA);Nintendo WiiWare;;2011;Teyon;Shooter;;;;;0;;;;;
Heavy Fire - Special Operations (USA);Heavy Fire - Special Operations (USA);Nintendo WiiWare;;2010;Teyon;Shooter;;;;;0;;;;;
Helix (USA);Helix (USA);Nintendo WiiWare;;2008;Ghostfire Games;Action;;;;;0;;;;;
Heracles Chariot Racing (USA);Heracles Chariot Racing (USA);Nintendo WiiWare;;2009;Neko Entertainment;Racing;;;;;0;;;;;
Heron - Steam Machine (USA);Heron - Steam Machine (USA);Nintendo WiiWare;;2010;Triangle Studios;Puzzle;;;;;0;;;;;
High Voltage Hot Rod Show (USA);High Voltage Hot Rod Show (USA);Nintendo WiiWare;;2009;High Voltage Software;Racing;;;;;0;;;;;
Hirameki Card Battle - Mekuruka (Japan);Hirameki Card Battle - Mekuruka (Japan);Nintendo WiiWare;;2009;Tom Create;Other;;;;;0;;;;;
Hockey Allstar Shootout (USA);Hockey Allstar Shootout (USA);Nintendo WiiWare;;2008;Big Blue Bubble;Sports;;;;;0;;;;;
Home Sweet Home (USA);Home Sweet Home (USA);Nintendo WiiWare;;2008;Big Blue Bubble;Simulation;;;;;0;;;;;
HoopWorld (USA);HoopWorld (USA);Nintendo WiiWare;;2010;Streamline Studios, Virtual Toys;Sports;;;;;0;;;;;
Horizon Riders (USA);Horizon Riders (USA);Nintendo WiiWare;;2011;Sabarasa;Racing;;;;;0;;;;;
Hubert the Teddy Bear - Winter Games (USA);Hubert the Teddy Bear - Winter Games (USA);Nintendo WiiWare;;2010;Teyon;Sports;;;;;0;;;;;
Incoming! (USA);Incoming! (USA);Nintendo WiiWare;;2009;JV Games;Strategy;;;;;0;;;;;
Incredible Maze, The (USA);Incredible Maze, The (USA);Nintendo WiiWare;;2008;Digital Leisure, Gameloft;Puzzle;;;;;0;;;;;
Inkub (USA);Inkub (USA);Nintendo WiiWare;;2010;Cosmonaut Games;Action;;;;;0;;;;;
Ivy the Kiwi - Mini (Japan);Ivy the Kiwi - Mini (Japan);Nintendo WiiWare;;2010;Prope, Namco Bandai, Xseed Games;Adventure;;;;;0;;;;;
Jam City Rollergirls (USA);Jam City Rollergirls (USA);Nintendo WiiWare;;2011;Frozen Codebase;Sports;;;;;0;;;;;
Janken Party Paradise (Japan);Janken Party Paradise (Japan);Nintendo WiiWare;;2010;Studio Zan;Other;;;;;0;;;;;
JellyCar 2 (USA);JellyCar 2 (USA);Nintendo WiiWare;;2011;Disney Interactive Studios;Driving;;;;;0;;;;;
Jett Rocket (USA);Jett Rocket (USA);Nintendo WiiWare;;2010;Shin'en Multimedia;Action;;;;;0;;;;;
Jewel Keepers - Easter Island (USA);Jewel Keepers - Easter Island (USA);Nintendo WiiWare;;2011;Nordcurrent;Puzzle;;;;;0;;;;;
Jinsei Game (Japan);Jinsei Game (Japan);Nintendo WiiWare;;2009;Takara Tomy;Other;;;;;0;;;;;
Jinsei Game - Happy Step (Japan);Jinsei Game - Happy Step (Japan);Nintendo WiiWare;;2010;Takara Tomy;Other;;;;;0;;;;;
Jintori Action! Taikoukenchi - Karakuri Shiro no Nazo (Japan);Jintori Action! Taikoukenchi - Karakuri Shiro no Nazo (Japan);Nintendo WiiWare;;2009;Perpetuum;Action;;;;;0;;;;;
Jungle Speed (USA);Jungle Speed (USA);Nintendo WiiWare;;2009;Playful Entertainment;Board Game;;;;;0;;;;;
